,DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
34,2022-04-14 02:51:00,TERRA_M-M,Brasil,RONDÔNIA,ESPIGÃO D'OESTE,Amazônia,0.0,7.9,0.0,-11.06309,-60.89314,19.8
35,2022-04-14 02:51:00,TERRA_M-M,Brasil,RONDÔNIA,ESPIGÃO D'OESTE,Amazônia,0.0,7.8,0.0,-11.06054,-60.87742,18.5
36,2022-04-14 02:51:00,TERRA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,0.0,6.5,0.0,-9.58441,-62.45668,6.4
39,2022-04-16 02:38:00,TERRA_M-M,Brasil,RONDÔNIA,ESPIGÃO D'OESTE,Amazônia,1.0,6.1,0.0,-11.10652,-60.85144,3.6
632,2022-05-09 02:40:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,5.0,0.4,1.0,-12.198,-63.666,4.4
633,2022-05-09 02:40:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,5.0,0.5,1.0,-12.199,-63.675,8.6
661,2022-05-09 02:43:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,5.0,0.5,1.0,-12.19943,-63.67517,8.6
662,2022-05-09 02:43:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,5.0,0.4,1.0,-12.1981,-63.66595,4.5
671,2022-05-11 02:30:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,7.0,0.0,0.6,-9.579,-62.457,5.3
672,2022-05-11 02:30:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,7.0,15.4,0.0,-13.293,-61.019,13.6
727,2022-05-11 02:32:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,7.0,0.0,0.6,-9.57877,-62.45727,5.3
730,2022-05-11 02:32:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,7.0,15.4,0.0,-13.29314,-61.01898,13.6
828,2022-05-14 03:02:00,TERRA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,1.0,11.6,0.1,-9.7231,-62.91388,10.9
1078,2022-05-21 03:08:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,4.0,0.0,1.0,-9.64696,-65.73633,11.1
1079,2022-05-21 03:08:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,4.0,0.0,1.0,-9.64957,-65.75251,11.4
1080,2022-05-21 03:08:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,4.0,0.0,-999.0,-9.65195,-65.74129,12.3
1170,2022-05-20 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,3.0,0.0,0.8,-12.94197,-61.66676,10.7
1410,2022-04-19 03:08:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,5.0,0.0,0.1,-13.28712,-61.02954,25.5
1417,2022-04-23 02:45:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,0.0,1.5,0.2,-9.64538,-65.73997,22.0
1418,2022-04-23 02:45:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,0.0,1.5,0.2,-9.64666,-65.74921,4.3
